repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,160000,https://gitub.com/tensorflow/tensorflow
keras,keras-team,52900,https://gitub.com/keras-team/keras
pytorch,pytorch,51500,https://gitub.com/pytorch/pytorch
scikit-learn,scikit-learn,47600,https://gitub.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,42200,https://gitub.com/tesseract-ocr/tesseract
face_recognition,ageitgey,41800,https://gitub.com/ageitgey/face_recognition
TensorFlow-Examples,aymericdamien,41300,https://gitub.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,38700,https://gitub.com/deepfakes/faceswap
julia,JuliaLang,36700,https://gitub.com/JuliaLang/julia
awesome-scalability,binhnguyennus,36100,https://gitub.com/binhnguyennus/awesome-scalability
100-Days-Of-ML-Code,Avik-Jain,33100,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
caffe,BVLC,32000,https://gitub.com/BVLC/caffe
MadeWithML,GokuMohandas,29000,https://gitub.com/GokuMohandas/MadeWithML
d2l-zh,d2l-ai,26100,https://gitub.com/d2l-ai/d2l-zh
machine-learning-for-software-engineers,ZuzooVn,25400,https://gitub.com/ZuzooVn/machine-learning-for-software-engineers
cs-video-courses,Developer-Y,25100,https://gitub.com/Developer-Y/cs-video-courses
handson-ml,ageron,23600,https://gitub.com/ageron/handson-ml
awesome-deep-learning-papers,terryum,23300,https://gitub.com/terryum/awesome-deep-learning-papers
Coursera-ML-AndrewNg-Notes,fengdu78,23100,https://gitub.com/fengdu78/Coursera-ML-AndrewNg-Notes
ML-For-Beginners,microsoft,22900,https://gitub.com/microsoft/ML-For-Beginners
openpose,CMU-Perceptual-Computing-Lab,22300,https://gitub.com/CMU-Perceptual-Computing-Lab/openpose
data-science-ipython-notebooks,donnemartin,21700,https://gitub.com/donnemartin/data-science-ipython-notebooks
xgboost,dmlc,21700,https://gitub.com/dmlc/xgboost
fastai,fastai,21500,https://gitub.com/fastai/fastai
spaCy,explosion,21500,https://gitub.com/explosion/spaCy
ML-From-Scratch,eriklindernoren,20300,https://gitub.com/eriklindernoren/ML-From-Scratch
google-research,google-research,19900,https://gitub.com/google-research/google-research
NLP-progress,sebastianruder,19200,https://gitub.com/sebastianruder/NLP-progress
homemade-machine-learning,trekhleb,18400,https://gitub.com/trekhleb/homemade-machine-learning
pumpkin-book,datawhalechina,18400,https://gitub.com/datawhalechina/pumpkin-book
